pmid,pmcid,doi,title,keywords,abstract,fulltext,links,corresp,site
0,0,18,53,4,501,43515,2,14,https://doi.org/10.1038/nmeth.4236
0,0,16,99,0,1149,35471,2,13,https://doi.org/10.1038/nmeth785
0,0,19,66,3,0,4552,2,10,https://doi.org/10.1038/nmeth.f.303
0,0,22,38,0,964,1430,1,15,https://doi.org/10.1038/nprot.2006.108
0,0,15,55,3,676,55618,2,17,https://doi.org/10.1038/nrg2796
0,0,19,49,0,2693,38145,2,15,https://doi.org/10.1038/nrmicro1283
0,0,19,51,0,891,0,2,0,https://doi.org/10.1038/nsb0295-171
0,0,17,59,0,1024,35375,2,13,https://doi.org/10.1038/nsmb.1658
0,0,20,112,5,1238,28389,2,11,https://doi.org/10.1038/onc.2013.119
0,0,17,126,3,1162,51736,2,32,https://doi.org/10.1038/srep42717

# plos
0,0,28,81,8,2485,86742,2,44,https://doi.org/10.1371/journal.pbio.0020162
0,0,28,92,8,2502,81215,2,82,https://doi.org/10.1371/journal.pbio.1000096
0,0,28,54,8,2684,70145,2,29,https://doi.org/10.1371/journal.pcbi.0020049
0,0,28,71,8,2311,22114,2,38,https://doi.org/10.1371/journal.pcbi.1000186
0,0,28,75,8,3610,99490,2,42,https://doi.org/10.1371/journal.pcbi.1005187
0,0,28,85,8,3063,51606,2,40,https://doi.org/10.1371/journal.pgen.1006599
0,0,28,107,8,1398,28192,2,49,https://doi.org/10.1371/journal.pone.0000718
0,0,28,99,8,1633,54713,2,85,https://doi.org/10.1371/journal.pone.0010517
0,0,28,114,8,1595,44597,2,27,https://doi.org/10.1371/journal.pone.0101271
0,0,28,105,8,2661,34229,2,38,https://doi.org/10.1371/journal.pone.0179543
0,0,28,55,8,3525,62198,2,34,https://doi.org/10.1371/journal.ppat.1000376

# biorxiv
0,0,14,42,0,1136,0,3,80,https://doi.org/10.1101/003905
0,0,14,65,0,1376,0,3,0,https://doi.org/10.1101/027227
0,0,14,89,0,1633,0,3,0,https://doi.org/10.1101/042903
0,0,14,103,0,1195,0,3,65,https://doi.org/10.1101/152579
0,0,14,81,0,941,0,3,57,https://doi.org/10.1101/631226
0,0,14,118,0,997,0,3,36,https://doi.org/10.1101/684340
0,0,14,102,0,3087,0,3,98,https://doi.org/10.1101/688614
0,0,14,69,0,1697,0,3,43,https://doi.org/10.1101/651661
0,0,14,123,5,3046,0,3,34,https://doi.org/10.1101/643296
0,0,14,98,0,1645,0,3,27,https://doi.org/10.1101/647917
0,0,14,54,0,1638,0,3,324,https://doi.org/10.1101/643346
0,0,14,71,0,1479,0,3,44,https://doi.org/10.1101/650176
0,0,14,88,0,1528,0,3,98,https://doi.org/10.1101/700989
0,0,14,46,0,1241,0,3,26,https://doi.org/10.1101/690438

# biorxiv_full
0,0,14,42,0,1136,44511,2,80,https://www.biorxiv.org/content/10.1101/003905v2.full
0,0,14,65,0,1376,32923,2,0,https://www.biorxiv.org/content/10.1101/027227v1.full
0,0,14,89,0,1633,88374,2,0,https://www.biorxiv.org/content/10.1101/042903v2.full
0,0,14,103,0,1195,20987,2,65,https://www.biorxiv.org/content/10.1101/152579v1.full
0,0,14,81,0,941,8755,2,57,https://www.biorxiv.org/content/10.1101/631226v1.full
0,0,14,118,0,997,32840,2,36,https://www.biorxiv.org/content/10.1101/684340v1.full
0,0,14,102,0,3087,49472,2,98,https://www.biorxiv.org/content/10.1101/688614v1.full
0,0,14,69,0,1697,19823,2,43,https://www.biorxiv.org/content/10.1101/651661v1.full
0,0,14,123,5,3046,32459,2,34,https://www.biorxiv.org/content/10.1101/643296v1.full
0,0,14,98,0,1645,14563,2,27,https://www.biorxiv.org/content/10.1101/647917v1.full
0,0,14,54,0,1638,50653,2,324,https://www.biorxiv.org/content/10.1101/643346v1.full
0,0,14,71,0,1479,21925,2,44,https://www.biorxiv.org/content/10.1101/650176v1.full
0,0,14,87,0,1399,9565,2,45,https://www.biorxiv.org/content/10.1101/700989v1.full
0,0,14,46,0,1241,27168,2,26,https://www.biorxiv.org/content/10.1101/690438v1.full

# acs
0,0,17,130,0,1205,33074,2,72,http://pubs.acs.org/doi/abs/10.1021/ac202450g
0,0,28,111,0,1635,28501,2,86,http://pubs.acs.org/doi/abs/10.1021/acs.analchem.5b00145
0,0,17,88,0,1016,71649,2,32,http://pubs.acs.org/doi/abs/10.1021/jm400378w
0,0,17,109,0,718,17861,2,0,http://pubs.acs.org/doi/full/10.1021/ac0256890
0,0,24,72,0,1378,56282,2,40,http://pubs.acs.org/doi/full/10.1021/acs.jcim.5b00588
0,0,29,74,0,1338,43488,2,110,http://pubs.acs.org/doi/full/10.1021/acs.jproteome.5b00121
0,0,19,72,0,0,0,2,0,http://pubs.acs.org/doi/full/10.1021/ci00004a013
0,0,18,76,0,862,0,2,0,http://pubs.acs.org/doi/full/10.1021/ed085p1265
0,0,17,57,0,1363,21918,2,53,http://pubs.acs.org/doi/full/10.1021/sb300084h
# strange keywords
0,0,17,108,0,677,32991,2,0,http://pubs.acs.org/doi/full/10.1021/pr034046d

# arxiv
0,0,24,54,0,1439,0,2,0,https://arxiv.org/abs/0704.3759
0,0,24,114,0,1468,0,2,0,https://arxiv.org/abs/1307.7203
0,0,25,85,0,1329,0,2,0,https://arxiv.org/abs/1603.08386
0,0,28,76,0,886,0,2,0,https://arxiv.org/abs/q-bio/0311017

# mcponline
# redirected to sciencedirect
0,0,23,118,0,1172,41360,2,13,https://doi.org/10.1074/mcp.M111.010264
0,0,23,119,0,1093,37651,2,15,https://doi.org/10.1074/mcp.M110.004994
0,0,23,81,0,1707,60927,2,14,https://doi.org/10.1074/mcp.M115.055558
0,0,26,89,0,1740,28789,2,21,https://doi.org/10.1074/mcp.M200002-MCP200

# pnas
0,0,23,53,0,1128,0,2,0,https://doi.org/10.1073/pnas.81.11.3443
0,0,23,41,0,1600,35635,2,0,https://doi.org/10.1073/pnas.0136893100
0,0,23,117,0,1669,34844,2,0,https://doi.org/10.1073/pnas.0400301101
0,0,23,67,0,2389,37383,2,39,https://doi.org/10.1073/pnas.1305823110

# ieee
0,0,25,66,0,861,0,2,0,https://doi.org/10.1109/ISCAS.1991.176345
0,0,23,57,0,1008,30808,2,0,https://doi.org/10.1109/ICPADS.2008.115
0,0,23,51,0,1128,55937,2,0,https://doi.org/10.1109/TNB.2003.817023
0,0,24,84,0,703,6114,2,0,https://doi.org/10.1109/TNB.2011.2169331
0,0,25,50,0,1672,57145,2,0,https://doi.org/10.1109/TCBB.2014.2351821
0,0,25,51,0,1251,15021,2,0,https://doi.org/10.1109/EMBC.2015.7318646
# abstract is truncated
0,0,24,72,0,2003,47311,2,0,https://doi.org/10.1109/TNB.2016.2554150

# liebertpub
0,0,21,57,0,1350,0,3,14,http://www.liebertpub.com/doi/abs/10.1089/cmb.2012.0283
0,0,21,75,4,1146,0,2,17,http://www.liebertpub.com/doi/abs/10.1089/cmb.2008.0226
0,0,26,71,3,1155,0,2,0,http://www.liebertpub.com/doi/abs/10.1089/106652703322756195
0,0,23,16,0,0,0,2,0,http://www.liebertpub.com/doi/abs/10.1089/152791600319231
0,0,20,31,0,0,0,3,0,http://www.liebertpub.com/doi/abs/10.1089/gen.32.15.12
0,0,21,77,5,1236,0,3,27,http://www.liebertpub.com/doi/abs/10.1089/cmb.2016.0024
0,0,21,76,5,1512,0,3,16,http://www.liebertpub.com/doi/abs/10.1089/cmb.2014.0157
0,0,21,74,0,0,0,3,10,http://www.liebertpub.com/doi/abs/10.1089/bio.2016.0088

# liebertpub_full
0,0,21,57,0,1350,22481,2,14,http://www.liebertpub.com/doi/full/10.1089/cmb.2012.0283
#0,0,0,0,0,0,0,1,0,http://www.liebertpub.com/doi/full/10.1089/gen.32.15.12
0,0,21,77,5,1236,0,3,27,http://www.liebertpub.com/doi/10.1089/cmb.2016.0024
0,0,21,76,5,1512,35887,2,16,http://www.liebertpub.com/doi/10.1089/cmb.2014.0157
0,0,21,74,0,0,11924,2,10,http://www.liebertpub.com/doi/10.1089/bio.2016.0088

# rsc
0,0,18,127,0,1210,0,3,46,https://doi.org/10.1039/C1MB05241A
0,0,18,109,0,1233,0,3,62,https://doi.org/10.1039/C5MB00883B
0,0,18,156,0,856,0,3,40,https://doi.org/10.1039/C5JA00451A

# rsc_full
0,0,18,127,0,1210,41457,2,0,http://pubs.rsc.org/en/Content/ArticleHTML/2011/MB/c1mb05241a
0,0,18,109,0,1233,21646,2,0,http://pubs.rsc.org/en/Content/ArticleHTML/2016/MB/C5MB00883B
0,0,18,156,0,856,32714,2,0,http://pubs.rsc.org/en/Content/ArticleHTML/2016/JA/C5JA00451A

# iucr
0,0,25,91,3,837,0,1,0,https://doi.org/10.1107/S0021889800014655
0,0,25,65,0,616,0,1,0,https://doi.org/10.1107/S0108767390000277
0,0,25,35,5,708,0,1,0,https://doi.org/10.1107/S0907444904013253
0,0,25,145,1,1884,0,1,0,https://doi.org/10.1107/S0907444998006684

# worldscientific
0,0,25,82,4,774,0,2,0,https://doi.org/10.1142/S0218213015400035
0,0,25,60,6,851,0,2,0,https://doi.org/10.1142/S0219720003000253
0,0,25,85,3,1342,0,2,0,https://doi.org/10.1142/S0219720014420050

# f1000research_articles
0,0,31,86,0,1283,15167,2,39,https://doi.org/10.12688/f1000research.2-192.v1
0,0,29,100,0,1216,20816,2,48,https://doi.org/10.12688/f1000research.5165.2
0,0,30,71,7,837,9041,2,46,https://doi.org/10.12688/f1000research.11223.1

# f1000research_posters
# pdf_a not working (because href="#")
0,0,0,59,5,3933,0,1,41,https://doi.org/10.7490/f1000research.1110127.1
0,0,0,86,8,768,0,1,89,https://doi.org/10.7490/f1000research.1112656.1
0,0,0,97,6,0,0,1,33,https://doi.org/10.7490/f1000research.1113436.1

# peerj
8,0,18,54,10,2561,42998,2,36,https://doi.org/10.7717/peerj.2584
0,0,20,58,4,1314,35345,2,27,https://doi.org/10.7717/peerj-cs.104

# peerj_preprints
0,0,30,65,9,1574,0,2,36,https://doi.org/10.7287/peerj.preprints.1037
0,0,30,77,4,1457,0,2,41,https://doi.org/10.7287/peerj.preprints.2236v3

# dtu
# registry from oaDOI
0,0,25,72,5,1170,0,1,0,http://orbit.dtu.dk/en/publications/analysis-and-prediction-of-gene-splice-sites-in-four-aspergillus-genomes(eec4e343-4836-461c-a2f4-a30fcbde01a5).html
0,0,18,50,0,1488,0,1,0,http://orbit.dtu.dk/en/publications/biomet-toolbox-genomewide-analysis-of-metabolism(937fc86a-f9c2-43e5-817b-30b3fbe09ac3).html
0,0,22,80,5,1218,0,1,0,http://orbit.dtu.dk/en/publications/netphosbac--a-predictor-for-serthr-phosphorylation-sites-in-bacterial-proteins(9faf0130-30a2-4a89-80ec-875b20c82e67).html

# tandfonline
0,0,30,62,0,1631,0,1,0,http://www.tandfonline.com/doi/abs/10.1080/07391102.2005.10507020
0,0,21,68,0,0,0,2,0,http://www.tandfonline.com/doi/abs/10.1081/CNV-120016428
0,0,25,61,5,1657,0,1,0,http://www.tandfonline.com/doi/abs/10.1198/jasa.2009.ap07611
0,0,28,133,6,1515,0,2,0,http://www.tandfonline.com/doi/abs/10.1080/07391102.2014.968875
0,0,29,164,6,1817,0,2,0,http://www.tandfonline.com/doi/abs/10.1080/07391102.2015.1095116
0,0,22,117,0,0,7094,2,0,http://www.tandfonline.com/doi/abs/10.1586/14789450.3.1.1

# tandfonline_full
0,0,21,68,0,0,0,1,0,http://www.tandfonline.com/doi/full/10.1081/CNV-120016428
0,0,28,133,6,1515,32940,2,0,http://www.tandfonline.com/doi/full/10.1080/07391102.2014.968875
0,0,29,164,6,1817,40515,2,0,http://www.tandfonline.com/doi/full/10.1080/07391102.2015.1095116
0,0,22,117,0,0,7094,2,0,http://www.tandfonline.com/doi/full/10.1586/14789450.3.1.1

# asm
0,0,20,194,0,2007,39015,2,45,https://doi.org/10.1128/JCM.00540-08
0,0,19,70,0,536,3675,2,28,https://doi.org/10.1128/JB.05372-11
0,0,32,84,0,1801,51213,2,27,https://doi.org/10.1128/JVI.77.13.7590-7600.2003
0,0,19,126,0,1696,64903,2,43,https://doi.org/10.1128/EC.00078-07
0,0,24,97,0,367,3985,2,0,https://doi.org/10.1128/genomeA.00092-16

# acm
0,0,23,81,0,876,0,2,0,https://doi.org/10.3115/1220575.1220634
0,0,21,87,5,1367,0,2,0,https://doi.org/10.1145/882262.882291
0,0,23,62,0,627,0,2,0,https://doi.org/10.1145/2618243.2618289

# degruyter
0,0,22,81,4,975,0,1,0,https://doi.org/10.2202/1544-6115.1046
0,0,22,61,6,1545,0,1,0,https://doi.org/10.1515/1544-6115.1753
0,0,23,76,4,1459,0,1,0,https://doi.org/10.1515/sagmb-2012-0046

# hindawi
0,0,19,90,0,1092,17310,2,0,https://doi.org/10.1155/2008/420747
0,0,19,61,0,1070,15249,2,0,https://doi.org/10.1155/2015/167249
0,0,19,73,0,1392,21362,2,0,https://doi.org/10.1155/2014/838259
0,0,19,74,0,1338,45119,2,0,https://doi.org/10.1155/2012/284786

# biecoll
# redirected to degruyter
0,0,20,70,0,1461,0,2,0,https://doi.org/10.2390/biecoll-jib-2010-110
0,0,20,64,0,474,0,2,0,https://doi.org/10.2390/biecoll-jib-2016-296

# jbc
# redirected to sciencedirect
0,0,22,159,0,1263,53368,2,20,https://doi.org/10.1074/jbc.M506654200
0,0,22,58,0,1303,37895,2,13,https://doi.org/10.1074/jbc.M309909200

# jbc_full
0,0,22,159,0,1263,74622,2,0,http://www.jbc.org/content/280/42/35588.full
0,0,22,58,0,1303,48895,2,0,http://www.jbc.org/content/279/11/10756.full

# karger
0,0,17,140,10,1094,0,1,0,https://www.karger.com/Article/Abstract/154415
0,0,17,110,4,1195,0,2,0,https://www.karger.com/Article/Abstract/343752
0,0,17,112,6,1094,14675,2,20,https://www.karger.com/Article/Abstract/365895
0,0,17,112,6,1094,14675,2,20,https://www.karger.com/Article/FullText/365895

# eurekaselect
0,0,26,118,6,554,0,1,0,https://doi.org/10.2174/138161206777585274
0,0,26,82,5,942,0,1,0,https://doi.org/10.2174/157016306780136754

# embnet
0,0,20,72,4,692,0,3,0,https://doi.org/10.14806/ej.17.1.200
0,0,20,107,6,1520,0,3,0,https://doi.org/10.14806/ej.21.0.837

# embnet_full
0,0,0,72,0,700,9207,1,0,http://journal.embnet.org/index.php/embnetjournal/article/view/200/479
0,0,0,107,0,1519,14456,1,0,http://journal.embnet.org/index.php/embnetjournal/article/view/837/1225

# sciencemag
0,0,0,58,0,0,0,2,0,https://doi.org/10.1126/science.2781285
0,0,0,83,0,937,0,2,0,https://doi.org/10.1126/science.8211139
0,0,0,41,0,837,36019,2,42,https://doi.org/10.1126/science.278.5338.631
0,0,0,61,0,683,18523,2,0,https://doi.org/10.1126/science.283.5405.1168
0,0,0,69,0,730,29757,2,14,https://doi.org/10.1126/science.1073774
0,0,0,44,0,543,22089,2,74,https://doi.org/10.1126/science.1083423
0,0,0,43,0,0,2586,1,0,https://doi.org/10.1126/science.317.5835.195
0,0,0,38,0,4193,45536,2,71,https://doi.org/10.1126/science.1260419

# bioinformation
0,0,0,43,5,585,0,2,22,http://www.bioinformation.net/001/002300012006.htm
0,0,0,57,0,1204,0,2,54,http://www.bioinformation.net/008/97320630008167.htm
0,0,0,78,3,922,0,2,56,http://www.bioinformation.net/009/97320630009840.htm

